name, number
S1mple's GOAT status challenged/VERTIGO is necessary?,1
G2's BLAST win will harm Niko's legacy?!?/Heroic should sign K0nfig!,2
FaZe NEED to make this change! / ZywOo is NOT a top 5 player of all time!, 3
